r30m44;Variable;factor;weight;spatial
Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Manure (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer (Mt Nr/yr);Fertilizer Use|Nitrogen|Inorganic (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Manure (Mt Nr/yr);Fertilizer Use|Nitrogen|Organic (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing (Mt Nr/yr);Fertilizer Use|Nitrogen|Organic (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues (Mt Nr/yr);Fertilizer Use|Nitrogen|Organic (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms (Mt Nr/yr);Fertilizer Use|Nitrogen|Biological Fixation (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops (Mt Nr/yr);Fertilizer Use|Nitrogen|Biological Fixation (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops (Mt Nr/yr);Fertilizer Use|Nitrogen|Biological Fixation|Symbiotic Crops (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Balance|+|Nutrient Surplus (Mt Nr/yr);Fertilizer Use|Nitrogen|Surplus (Tg N/yr);1;NULL;reg+glo
Productivity|Yield|+|Bioenergy crops (t DM/ha);Yield|Bioenergy|2nd generation (t DM/ha/yr);1;NULL;reg+glo
Productivity|Yield|Crops|+|Cereals (t DM/ha);Yield|Cereal (t DM/ha/yr);1;NULL;reg+glo
