"model";"scenario";"region";"variable";"unit";"period";"value"
"GCAM 5.3+ NGFS";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2020;0
"GCAM 5.3+ NGFS";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2025;0
"GCAM 5.3+ NGFS";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2030;0
"GCAM 5.3+ NGFS";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2035;0
"GCAM 5.3+ NGFS";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2040;0
"GCAM 5.3+ NGFS";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2045;0
"GCAM 5.3+ NGFS";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2050;0
"GCAM 5.3+ NGFS";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2020;0
"GCAM 5.3+ NGFS";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2025;2.22058255614537
"GCAM 5.3+ NGFS";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2030;2.69340961142578
"GCAM 5.3+ NGFS";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2035;2.62349379355602
"GCAM 5.3+ NGFS";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2040;2.25120050044097
"GCAM 5.3+ NGFS";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2045;1.89175045805092
"GCAM 5.3+ NGFS";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2050;-0.184875146034624
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2020;0.0536755046977982
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2025;0.0273884183311236
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2030;0.0135219930209167
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2035;0.0596691544963314
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2040;0.109081604645798
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2045;0.161501666351886
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2050;0.215067735950691
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2020;0.0536755046977982
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2025;7.13433450693427
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2030;6.2091541688076
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2035;5.1428547239796
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2040;4.80106204804779
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2045;4.35831956021201
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2050;3.58152555893652
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2020;0.41348728631952
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2025;0.26472712635544
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2030;0.25162422168222
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2035;0.24407742598218
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2040;0.24534128740046
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2045;0.2572172645514
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"CO2 emissions costs";"trillion US$";2050;0.27497039994126
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2020;0.41348728631952
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2025;2.6167633175683
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2030;2.6833414238408
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2035;2.75964970889088
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2040;2.2844975518589
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2045;1.69772962370292
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"CO2 emissions costs";"trillion US$";2050;1.07915350972688
"GCAM 5.3+ NGFS";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2020;3.99980072615368
"GCAM 5.3+ NGFS";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2025;4.0875234191602
"GCAM 5.3+ NGFS";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2030;4.11525675698823
"GCAM 5.3+ NGFS";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2035;4.12686785740815
"GCAM 5.3+ NGFS";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2040;4.19459983140202
"GCAM 5.3+ NGFS";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2045;4.26126450078216
"GCAM 5.3+ NGFS";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2050;4.30569468398307
"GCAM 5.3+ NGFS";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2020;3.98263062187016
"GCAM 5.3+ NGFS";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2025;3.78466942945572
"GCAM 5.3+ NGFS";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2030;3.64517738784943
"GCAM 5.3+ NGFS";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2035;3.3845031445197
"GCAM 5.3+ NGFS";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2040;3.17379848126701
"GCAM 5.3+ NGFS";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2045;2.92094712201016
"GCAM 5.3+ NGFS";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2050;2.3810079839124
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2020;1.51560207565404
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2025;1.80532111181511
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2030;1.96619275403309
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2035;2.31980741149411
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2040;2.62355588616613
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2045;2.83594891693575
"MESSAGEix-GLOBIOM 1.1-M-R12";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2050;3.21662268631867
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2020;1.51560207565404
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2025;1.59160935392025
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2030;1.18920599487504
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2035;1.31673004268867
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2040;1.33475794925437
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2045;1.43733271205919
"MESSAGEix-GLOBIOM 1.1-M-R12";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2050;1.42926949115443
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2020;3.01549073779
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2025;3.5081078028
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2030;3.88706011287
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2035;3.91796720966
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2040;4.16667577018
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2045;4.29790000459
"REMIND-MAgPIE 3.0-4.4";"h_cpol";"World";"Fossil fuels revenues";"trillion US$";2050;4.5308824585
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2020;3.01549073779
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2025;3.02182053738
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2030;2.805803321
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2035;2.28584281582
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2040;1.9402076031
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2045;1.71837422517
"REMIND-MAgPIE 3.0-4.4";"o_1p5c";"World";"Fossil fuels revenues";"trillion US$";2050;1.60275327458
"GCAM 5.3+ NGFS";"h_cpol";"World";"Buildings energy costs";"trillion US$";2020;2.14510282530513
"GCAM 5.3+ NGFS";"h_cpol";"World";"Buildings energy costs";"trillion US$";2025;2.38787610662781
"GCAM 5.3+ NGFS";"h_cpol";"World";"Buildings energy costs";"trillion US$";2030;2.63922337133767
"GCAM 5.3+ NGFS";"h_cpol";"World";"Buildings energy costs";"trillion US$";2035;2.91544010876379
"GCAM 5.3+ NGFS";"h_cpol";"World";"Buildings energy costs";"trillion US$";2040;3.19544082328381
"GCAM 5.3+ NGFS";"h_cpol";"World";"Buildings energy costs";"trillion US$";2045;3.45876087742975
"GCAM 5.3+ NGFS";"h_cpol";"World";"Buildings energy costs";"trillion US$";2050;3.69408532958131
"GCAM 5.3+ NGFS";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2020;2.10770604749186
"GCAM 5.3+ NGFS";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2025;2.50339528101192
"GCAM 5.3+ NGFS";"o_1p5c";"World";"Buildings energy costs";"trillion US$";2030;2.89456097980768
